+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX   |   SUM   |  AVG  |  P1   |  P50   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /icons/450886d6faaee54f7387d890bd1a8e01e80c147c.png | 0.352 |  0.372 |   0.724 | 0.362 | 0.372 |  0.372 |  0.372 |  0.010 | 223452.000 | 223452.000 |   446904.000 | 223452.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /icons/bde120814720fb3bee14f415b4001305868df456.png | 0.414 |  6.689 |   7.103 | 3.551 | 0.414 |  0.414 |  0.414 |  3.138 | 295006.000 | 295006.000 |   590012.000 | 295006.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /icons/b1c8c5bc9b026507ae62e6bf62cf55f70f4ac3d8.png | 0.410 |  7.775 |   8.185 | 4.093 | 0.410 |  0.410 |  0.410 |  3.683 | 327999.000 | 327999.000 |   655998.000 | 327999.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /icons/d596eb3cfed2cf248053397eb623fc560917d0c9.png | 0.430 |  7.045 |   7.475 | 3.737 | 0.430 |  0.430 |  0.430 |  3.307 | 312514.000 | 312514.000 |   625028.000 | 312514.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /icons/f0a6a8334e2b9b3f49c39ce35a19a2d20e648aab.png | 0.455 |  0.537 |   0.992 | 0.496 | 0.537 |  0.537 |  0.537 |  0.041 | 672881.000 | 672881.000 |  1345762.000 | 672881.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /history/349                                        | 0.976 |  1.164 |   2.140 | 1.070 | 1.164 |  1.164 |  1.164 |  0.094 |  25806.000 |  25806.000 |    51612.000 |  25806.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /icons/9ffcd7cee7e5947b204db47c5738150e09e685e1.png | 0.345 |  7.104 |   7.449 | 3.724 | 0.345 |  0.345 |  0.345 |  3.380 | 202359.000 | 202359.000 |   404718.000 | 202359.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /history/291                                        | 0.821 |  1.007 |   1.828 | 0.914 | 0.821 |  0.821 |  0.821 |  0.093 |  25820.000 |  25820.000 |    51640.000 |  25820.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /icons/3d46b7f1f3b3b4486d56a224db9fea9b12c718f5.png | 0.401 |  0.417 |   0.818 | 0.409 | 0.401 |  0.401 |  0.401 |  0.008 | 233710.000 | 233710.000 |   467420.000 | 233710.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /history/6                                          | 1.539 |  2.768 |   4.307 | 2.153 | 1.539 |  1.539 |  1.539 |  0.614 |  43105.000 |  43734.000 |    86839.000 |  43419.500 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /profile/yamamura_kenichi                           | 6.612 |  6.612 |   6.612 | 6.612 | 6.612 |  6.612 |  6.612 |  0.000 |  26332.000 |  26332.000 |    26332.000 |  26332.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/c3e70129aeb6397568d97c8261b134547c31f4dc.png | 0.392 |  0.392 |   0.392 | 0.392 | 0.392 |  0.392 |  0.392 |  0.000 | 223462.000 | 223462.000 |   223462.000 | 223462.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /channel/332                                        | 0.020 |  0.020 |   0.020 | 0.020 | 0.020 |  0.020 |  0.020 |  0.000 |  26114.000 |  26114.000 |    26114.000 |  26114.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/5dc48c74e0f923aa2a4acbe786d3cbe2512c6767.png | 0.410 |  0.410 |   0.410 | 0.410 | 0.410 |  0.410 |  0.410 |  0.000 | 388612.000 | 388612.000 |   388612.000 | 388612.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/37cb504a993a882fb7bae384f0a518cae7ff97b5.png | 0.379 |  0.379 |   0.379 | 0.379 | 0.379 |  0.379 |  0.379 |  0.000 | 127820.000 | 127820.000 |   127820.000 | 127820.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /history/5                                          | 0.037 |  0.037 |   0.037 | 0.037 | 0.037 |  0.037 |  0.037 |  0.000 |  43605.000 |  43605.000 |    43605.000 |  43605.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/b4f9effc4d9e86b58b271f5652b51dd997036d43.png | 0.453 |  0.453 |   0.453 | 0.453 | 0.453 |  0.453 |  0.453 |  0.000 | 428252.000 | 428252.000 |   428252.000 | 428252.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /profile/kohori_yuuki                               | 0.430 |  0.430 |   0.430 | 0.430 | 0.430 |  0.430 |  0.430 |  0.000 |  26324.000 |  26324.000 |    26324.000 |  26324.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/f8a9d2d65300689fdbf9688a05045f56c122bc16.png | 0.377 |  0.377 |   0.377 | 0.377 | 0.377 |  0.377 |  0.377 |  0.000 | 399332.000 | 399332.000 |   399332.000 | 399332.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /profile/yoshinaga_katsuhisa                        | 0.626 |  0.626 |   0.626 | 0.626 | 0.626 |  0.626 |  0.626 |  0.000 |  26338.000 |  26338.000 |    26338.000 |  26338.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/ae8893170459dc68063b942c49cc0b2be78f6b47.png | 0.387 |  0.387 |   0.387 | 0.387 | 0.387 |  0.387 |  0.387 |  0.000 | 227840.000 | 227840.000 |   227840.000 | 227840.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /profile/nakano_yuu                                 | 0.960 |  0.960 |   0.960 | 0.960 | 0.960 |  0.960 |  0.960 |  0.000 |  26320.000 |  26320.000 |    26320.000 |  26320.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/c434098fec37fd0d2c1e646d104220f6ffabbea7.png | 0.350 |  0.350 |   0.350 | 0.350 | 0.350 |  0.350 |  0.350 |  0.000 | 103094.000 | 103094.000 |   103094.000 | 103094.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/6b88bb2c190da9e6cd9e704c45bf1d52ad107348.png | 0.354 |  0.354 |   0.354 | 0.354 | 0.354 |  0.354 |  0.354 |  0.000 | 149543.000 | 149543.000 |   149543.000 | 149543.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /profile/TskZoQJMqrTICTojIYxyeSxZyfroRODM           | 0.010 |  0.010 |   0.010 | 0.010 | 0.010 |  0.010 |  0.010 |  0.000 |      0.000 |      0.000 |        0.000 |      0.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/3bb9df05ed10fa7a086183bf2799e132631a93ce.png | 7.042 |  7.042 |   7.042 | 7.042 | 7.042 |  7.042 |  7.042 |  0.000 | 438863.000 | 438863.000 |   438863.000 | 438863.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/02be8cdc86437df99c6cdcfb47c52f1085d92b1a.png | 0.380 |  0.380 |   0.380 | 0.380 | 0.380 |  0.380 |  0.380 |  0.000 | 115438.000 | 115438.000 |   115438.000 | 115438.000 |
|     1 |   0 |   0 |   1 |   0 |   0 | GET    | /profile/oosaki_mia                                 | 5.585 |  5.585 |   5.585 | 5.585 | 5.585 |  5.585 |  5.585 |  0.000 |      0.000 |      0.000 |        0.000 |      0.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/ba05f8d186ab9c5270276176187eb0361b06baef.png | 0.407 |  0.407 |   0.407 | 0.407 | 0.407 |  0.407 |  0.407 |  0.000 | 543142.000 | 543142.000 |   543142.000 | 543142.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /profile/morinaga_keiko                             | 7.949 |  7.949 |   7.949 | 7.949 | 7.949 |  7.949 |  7.949 |  0.000 |  26328.000 |  26328.000 |    26328.000 |  26328.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/158fa9df919970ac8bc3bc2724ed5b02fe30968d.png | 7.512 |  7.512 |   7.512 | 7.512 | 7.512 |  7.512 |  7.512 |  0.000 | 115055.000 | 115055.000 |   115055.000 | 115055.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/d6ad2e7df048b8691a8223482adf654ae03376af.png | 8.216 |  8.216 |   8.216 | 8.216 | 8.216 |  8.216 |  8.216 |  0.000 | 371278.000 | 371278.000 |   371278.000 | 371278.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/65ea5a70b1fcf8f5f816b01b87f2aca2251315b0.png | 0.378 |  0.378 |   0.378 | 0.378 | 0.378 |  0.378 |  0.378 |  0.000 | 299210.000 | 299210.000 |   299210.000 | 299210.000 |
